,Title,Genre,Premiere,Runtime,IMDB Score,Language
398,Shirkers,Documentary,26-Oct-18,97,7.4,English
399,Sierra Burgess Is a Loser,Romantic comedy-drama,7-Sep-18,105,5.8,English
400,Sitara: Let Girls Dream,Animation / Short,8-Mar-20,15,7.3,English
401,Sky Ladder: The Art of Cai Guo-Qiang,Documentary,14-Oct-16,79,7.3,English/Mandarin
402,Small Crimes,Dark comedy,28-Apr-17,95,5.8,English
403,Sol Levante,Anime / Short,2-Apr-20,4,4.7,English
404,Someone Great,Romantic comedy,19-Apr-19,92,6.2,English
405,Sometimes,Drama,1-May-18,101,7.2,Tamil
406,Soni,Crime drama,18-Jan-19,97,7.2,Hindi
407,Space Sweepers,Science fiction,5-Feb-21,136,6.6,Korean
408,Special Correspondents,Satire,29-Apr-16,100,5.8,English
409,Spectral,Science fiction/Action,9-Dec-16,108,6.3,English
410,Spelling the Dream,Documentary,3-Jun-20,83,6.9,English
411,Spenser Confidential,Action comedy,6-Mar-20,111,6.2,English
412,Springsteen on Broadway,One-man show,16-Dec-18,153,8.5,English
413,Squared Love,Romantic comedy,11-Feb-21,102,5,Polish
414,Step Sisters,Comedy,19-Jan-18,108,5.5,English
415,Still Laugh-In: The Stars Celebrate,Variety show,14-May-19,60,5.2,English
416,Street Flow,Drama,12-Oct-19,96,6.4,French
417,"Strip Down, Rise Up",Documentary,5-Feb-21,112,5.2,English
418,Strong Island,Documentary,27-Sep-17,107,6.4,English
419,Struggle: The Life and Lost Art of Szukaiski,Documentary,21-Dec-18,105,8,English
420,Stuck Apart,Drama,8-Jan-21,96,6.1,Turkish
421,Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,27-Sep-19,41,6.4,English
422,Take the 10,Comedy,20-Jan-17,80,4.8,English
423,Take Your Pills,Documentary,16-Mar-18,87,6.4,English
424,Tall Girl,Comedy-drama,13-Sep-19,102,5.2,English
425,Tallulah,Comedy-drama,29-Jul-16,111,6.7,English
426,TAU,Science fiction/Thriller,29-Jun-18,97,5.8,English
427,Taylor Swift: Reputation Stadium Tour,Concert Film,31-Dec-18,125,8.4,English
428,Team Foxcatcher,Documentary,29-Apr-16,90,7.3,English/Russian
429,Tell Me Who I Am,Documentary,18-Oct-19,85,7.6,English
430,Tersanjung the Movie,Drama,1-Apr-21,114,6.1,Indonesian
431,The 40-Year-Old Version,Comedy,9-Oct-20,124,7.2,English
432,The After Party,Comedy,24-Aug-18,89,5.8,English
433,The American Meme,Documentary,7-Dec-18,98,6.6,English
434,The Angel,Spy thriller,14-Sep-18,114,6.6,English
435,The App,Science fiction/Drama,26-Dec-19,79,2.6,Italian
436,The Babysitter,Teen comedy horror,13-Oct-17,85,6.3,English
437,The Babysitter: Killer Queen,Comedy/Horror,10-Sep-20,102,5.8,English
438,The Ballad of Buster Scruggs,Western,16-Nov-18,132,7.3,English
439,The Beast,Drama,27-Nov-20,99,5.2,Italian
440,The Binding,Drama,2-Oct-20,93,4.7,Italian
441,The Black Godfather,Documentary,7-Jun-19,118,7.4,English
442,The Bleeding Edge,Documentary,27-Jul-18,100,7.6,English
443,The Boys in the Band,Drama,30-Sep-20,121,6.8,English
444,The Boys in the Band: Something Personal,Aftershow / Interview,30-Sep-20,28,6.8,English
445,The Call,Drama,27-Nov-20,112,4.1,Korean
446,The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,22-Nov-18,104,7,English
447,The Christmas Chronicles: Part Two,Christmas comedy,25-Nov-20,115,6,English
448,The Claudia Kishi Club,Documentary,10-Jul-20,17,6.9,English
449,The Claus Family,Fantasy,7-Dec-20,96,5.8,Dutch
450,The Cloverfield Paradox,Science fiction,4-Feb-18,102,5.5,English
451,The Crimes That Bind,Crime drama,20-Aug-20,99,6.6,Spanish
452,The Day of the Lord,Drama,30-Oct-20,93,4.9,Spanish
453,The Death and Life of Marsha P. Johnson,Documentary,6-Oct-17,105,7.3,English
454,The Decline,Thriller,27-Mar-20,83,5.9,French
455,The Devil All the Time,Psychological thriller,16-Sep-20,138,7.1,English
456,The Dig,Drama,29-Jan-21,112,7.1,English
457,The Dirt,Biopic,22-Mar-19,108,7,English
458,The Disciple,Drama,30-Apr-21,129,7.2,Marathi
459,The Discovery,Science fiction/Drama,31-Mar-17,102,6.3,English
460,The Do-Over,Action comedy,27-May-16,108,5.7,English
461,The Edge of Democracy,Documentary,19-Jun-19,121,7.2,Portuguese
462,The Forest of Love,Drama,11-Oct-19,151,6.3,Japanese
463,The Fundamentals of Caring,Comedy-drama,24-Jun-16,97,7.3,English
464,The Girl on the Train,Thriller,26-Feb-21,120,4.4,Hindi
465,The Great Hack,Documentary,24-Jul-19,114,7.1,English
466,The Half of It,Romance,1-May-20,105,6.9,English
467,The Heartbreak Club,Comedy-drama,14-Jan-21,101,6.4,Indonesian
468,The Highwaymen,Crime drama,29-Mar-19,131,6.9,English
469,The Holiday Calendar,Romantic comedy,2-Nov-18,95,5.7,English
470,The Incredible Jessica James,Comedy,28-Jul-17,83,6.5,English
471,The Irishman,Crime drama,27-Nov-19,209,7.8,English
472,The Irishman: In Conversation,Aftershow / Interview,27-Nov-19,23,7.4,English
473,The Ivory Game,Documentary,4-Nov-16,112,7.9,English
474,The Killer,Western,10-Nov-17,99,6.1,Portuguese
475,The King,Historical drama,1-Nov-19,140,7.2,English
476,The Kissing Booth,Romantic comedy,11-May-18,105,6,English
477,The Kissing Booth 2,Romantic comedy,24-Jul-20,131,5.8,English
478,The Knight Before Christmas,Romantic comedy,21-Nov-19,92,5.5,English
479,The Land of Steady Habits,Drama,14-Sep-18,98,6.2,English
480,The Larva Island Movie,Animation,23-Jul-20,90,5.1,English
481,The Last Days of American Crime,Heist film/Thriller,5-Jun-20,149,3.7,English
482,The Last Laugh,Comedy-drama,11-Jan-19,98,5.6,English
483,The Last Paradiso,Romantic drama,5-Feb-21,107,5.6,Italian
484,The Last Thing He Wanted,Political thriller,21-Feb-20,115,4.3,English
485,The Laundromat,Comedy-drama,18-Oct-19,98,6.3,English
486,The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,6-Jul-18,83,5.5,English
487,The Legend of Cocaine Island,Documentary,29-Mar-19,87,6.3,English
488,The Life Ahead,Drama,13-Nov-20,95,6.8,Italian
489,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,23-May-19,30,6.9,English
490,The Lovebirds,Romantic comedy,22-May-20,87,6.1,English
491,The Main Event,Comedy,10-Apr-20,101,4.8,English
492,The Mars Generation,Documentary,5-May-17,97,6.4,English
493,The Meyerowitz Stories (New and Selected),Comedy-drama,13-Oct-17,112,6.9,English
494,The Midnight Sky,Science fiction,23-Dec-20,118,5.6,English
495,The Minimalists: Less Is Now,Documentary,1-Jan-21,53,5.9,English
496,The Misadventures of Hedi and Cokeman,Comedy,10-Feb-21,99,4.5,French
497,The Most Assassinated Woman in the World,Thriller,7-Sep-18,102,5.3,French
498,The Most Hated Woman in America,Biopic,24-Mar-17,92,6.1,English
499,The Night Comes for Us,Action-thriller,19-Oct-18,121,7,Indonesian
500,The Occupant,Thriller,25-Mar-20,103,6.4,Spanish
501,The Old Guard,Superhero/Action,10-Jul-20,124,6.7,English
502,The Open House,Horror thriller,19-Jan-18,94,3.2,English
503,The Other One: The Long Strange Trip of Bob Weir,Documentary,22-May-15,83,7.3,English
504,The Other Side of the Wind,Drama,2-Nov-18,122,6.8,English
505,The Outsider,Crime drama,9-Mar-18,120,6.3,English/Japanese
506,The Package,Black comedy,10-Aug-18,94,5.5,English
507,The Paramedic,Thriller,16-Sep-20,94,5.6,Spanish
508,The Perfect Date,Romantic comedy,12-Apr-19,89,5.8,English
509,The Perfection,Horror-thriller,24-May-19,90,6.1,English
510,The Players,Comedy,15-Jul-20,88,4.6,Italian
511,The Polka King,Comedy-drama,12-Jan-18,95,5.9,English
512,The Princess Switch,Romantic comedy,16-Nov-18,101,6,English
513,The Princess Switch: Switched Again,Romantic comedy,19-Nov-20,97,5.4,English
514,The Prom,Musical,11-Dec-20,132,5.9,English
515,The Rachel Divide,Documentary,27-Apr-18,104,6.2,English
516,The Red Sea Diving Resort,Spy thriller,31-Jul-19,130,6.6,English
517,The Ridiculous 6,Western,11-Dec-15,119,4.8,English
518,The Road to El Camino: A Breaking Bad Movie,Making-of,29-Oct-19,13,7.2,English
519,The Siege of Jadotville,War,7-Oct-16,108,7.2,English
520,The Sleepover,Comedy,21-Aug-20,103,5.6,English
521,The Social Dilemma,Documentary,9-Sep-20,94,7.6,English
522,The Speed Cubers,Documentary,29-Jul-20,40,7.4,English
523,The Three Deaths of Marisela Escobedo,Documentary,14-Oct-20,109,8.2,Spanish
524,The Trader,Documentary,9-Feb-18,23,6.8,Georgian
525,The Trial of the Chicago 7,Drama,16-Oct-20,130,7.8,English
526,The Two Popes,Drama,20-Dec-19,125,7.6,English
527,The Week Of,Comedy,27-Apr-18,116,5.2,English
528,The White Helmets,Documentary,16-Sep-16,40,7.5,English
529,The White Tiger,Drama,22-Jan-21,125,7.1,English
530,The Willoughbys,Animation/Comedy/Adventure,22-Apr-20,90,6.4,English
531,The Woman in the Window,Psychological thriller,14-May-21,100,5.7,English
532,The Wrong Missy,Comedy,13-May-20,90,5.7,English
533,They'll Love Me When I'm Dead,Documentary,2-Nov-18,98,7.4,English
534,Things Heard & Seen,Horror,29-Apr-21,121,5.3,English
535,Thunder Force,Superhero-Comedy,9-Apr-21,105,4.4,English
536,Tig,Documentary,17-Jul-15,80,7.4,English
537,Tigertail,Drama,10-Apr-20,91,6.5,English/Taiwanese/Mandarin
538,Time to Hunt,Thriller,23-Apr-20,134,6.3,Korean
539,To All the Boys I've Loved Before,Romantic comedy,17-Aug-18,99,7.1,English
540,To All the Boys: Always and Forever,Romantic comedy,12-Feb-21,109,6.3,English
541,To All the Boys: P.S. I Still Love You,Romantic comedy,12-Feb-20,102,6,English
542,"To Each, Her Own",Romantic comedy,24-Jun-18,95,5.3,French
543,To the Bone,Drama,14-Jul-17,107,6.8,English
544,Tony Parker: The Final Shot,Documentary,6-Jan-21,98,6.8,French
545,Tony Robbins: I Am Not Your Guru,Documentary,15-Jul-16,116,6.7,English
546,Tramps,Romance,21-Apr-17,83,6.5,English
547,Travis Scott: Look Mom I Can Fly,Documentary,28-Aug-19,85,6.3,English
548,Tribhanga  Tedhi Medhi Crazy,Drama,15-Jan-21,95,6.1,Hindi
549,Triple Frontier,Action-thriller,13-Mar-19,125,6.4,English
550,True Memoirs of an International Assassin,Action comedy,11-Nov-16,98,5.9,English
551,Two Catalonias,Documentary,28-Sep-18,116,6.4,Spanish/Catalan
552,Ultras,Sports film,20-Mar-20,108,5.9,Italian
553,Uncorked,Drama,27-Mar-20,103,6.3,English
554,Under the Riccione Sun,Romantic teenage drama,1-Jul-20,101,5.4,Italian
555,Unicorn Store,Comedy,5-Apr-19,92,5.5,English
556,Unknown Origins,Thriller,28-Aug-20,96,6.1,Spanish
557,Upstarts,Drama,18-Oct-19,112,6.7,Hindi
558,Vampires vs. the Bronx,Horror comedy,2-Oct-20,86,5.6,English
559,Velvet Buzzsaw,Thriller,1-Feb-19,112,5.7,English
560,Voyuer ,Documentary,1-Dec-17,95,6.2,English
561,Walk. Ride. Rodeo.,Drama,8-Mar-19,99,6.4,English
562,War Machine,War-Comedy,26-May-17,122,6,English
563,We Are One,Documentary,14-Jul-20,86,4.6,French
564,We Can Be Heroes,Superhero,25-Dec-20,100,4.7,English
565,What Did Jack Do?,Drama / Short,20-Jan-20,17,6.5,English
566,What Happened to Mr. Cha?,Comedy,1-Jan-21,102,4.3,Korean
567,"What Happened, Miss Simone?",Documentary,26-Jun-15,84,7.6,English
568,What We Wanted,Drama,11-Nov-20,93,5.8,German
569,What Would Sophia Loren Do?,Documentary,15-Jan-21,32,6.6,English
570,Wheelman,Action thriller,20-Oct-17,82,6.4,English
571,When We First Met,Romantic comedy,9-Feb-18,97,6.4,English
572,Whipped,Romantic comedy,18-Sep-20,97,4.1,Indonesian
573,Who Would You Take to a Deserted Island?,Drama,12-Apr-19,93,5.3,Spanish
574,Why Did You Kill Me?,Documentary,14-Apr-21,83,5.6,English
575,Win It All,Comedy,7-Apr-17,88,6.2,English
576,Wine Country,Comedy,10-May-19,103,5.5,English
577,Winter on Fire: Ukraine's Fight for Freedom,Documentary,9-Oct-15,91,8.4,English/Ukranian/Russian
578,Work It,Dance comedy,7-Aug-20,93,6.1,English
579,XOXO,Drama,26-Aug-16,92,5.3,English
580,Yeh Ballet,Drama,21-Feb-20,117,7.6,Hindi
581,Yes Day,Comedy,12-Mar-21,86,5.7,English
582,You've Got This,Romantic comedy,2-Oct-20,111,5.8,Spanish
583,Zion ,Documentary,10-Aug-18,11,7.2,English
